Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B8_3_A_control_SK,2024-07-15 14:24:39,,/Volumes/T7/15_7/cut/B8_3_A_control.mp4,815.700,30.0,red,Zone of Interest,,,STATE,38.533,40.133,1.600,,
B8_5_A_novel_SK,2024-07-17 10:01:17,,/Volumes/T7/17_7/cut/B8_5_A_novel.mp4,663.940,30.0,red,Zone of Interest,,,STATE,38.600,47.800,9.200,,
B8_6_BG_BR_novel_SK,2024-07-18 14:27:02,,/Volumes/Extreme SSD/NEO_Gull 2024/18_7/B8_B9/cut/B8_6_BG_BR_novel.mp4,647.300,30.0,No focal subject,Eating,,,POINT,38.600,38.600,NA,,
B3_7_PY_BP_novel_SK,2024-07-12 20:40:40,,/Volumes/T7/2_7/cut/B3_7_PY_BP_novel.mov,719.800,30.0,No focal subject,Test arena entry,,,POINT,38.733,38.733,NA,,
B9_1_PP_GP_novel_SK,2024-07-16 10:45:49,,/Volumes/T7/13_7/cut/B9_1_PP_GP_novel.mp4,679.740,30.0,No focal subject,Zone of Interest,,,STATE,38.967,67.933,28.966,,
B2_8_BR_PP_novel_SK,2024-07-13 08:50:01,,/Volumes/T7/3_7/cut/B2_8_BR_PP_novel.mov,682.670,30.0,No focal subject,Zone of Interest,,,STATE,39.000,81.800,42.800,,
B5_1_RY_GR_novel_SK,2024-07-12 14:53:07,,/Volumes/T7/29_06/B4_B5/cut/B5_1_RY_GP_novel.mp4,726.680,25.0,No focal subject,Trial start,,,POINT,39.080,39.080,NA,,
B3_1_GR_GP_control_SK,2024-07-12 14:11:56,,/Volumes/T7/26_06/EXTRA_DAY/B3_1_GR_GP_control.mov,697.400,30.0,No focal subject,Zone of Interest,,,STATE,39.100,71.433,32.333,,
B9_3_GP_BB_control_SK,2024-07-15 14:26:33,,/Volumes/T7/15_7/cut/B9_3_GP_BB_control.mp4,685.330,30.0,No focal subject,Zone of Interest,,,STATE,39.133,155.967,116.834,,
B5_6_B_control_SK,2024-07-11 11:04:12,,/Volumes/T7/4_7/cut/B5_6_B_control.mp4,684.890,25.0,red,Zone of Interest,,,STATE,39.400,59.880,20.480,,
B2_4_RY_RR_novel_SK,2024-07-12 14:49:19,,/Volumes/T7/29_06/B2_B3/cut/B2_4_RY_RR_novel.mp4,732.050,30.0,No focal subject,Trial start,,,POINT,39.500,39.500,NA,,
B5_1_BG_BY_novel_Sk,2024-07-12 14:51:25,,/Volumes/T7/29_06/B4_B5/cut/B5_1_BG_BY_novel.mp4,678.530,25.0,No focal subject,Eating,,,POINT,39.560,39.560,NA,,
B9_3_GP_BB_control_SK,2024-07-15 14:26:33,,/Volumes/T7/15_7/cut/B9_3_GP_BB_control.mp4,685.330,30.0,No focal subject,Eating,,,POINT,39.700,39.700,NA,,
B5_4_A_control_SK,2024-07-12 18:49:11,,/Volumes/T7/2_7/cut/B5_4_A_control.mov,647.500,30.0,black,Zone of Interest,,,STATE,40.133,46.133,6.000,,
B2_8_BR_PP_novel_SK,2024-07-13 08:50:01,,/Volumes/T7/3_7/cut/B2_8_BR_PP_novel.mov,682.670,30.0,No focal subject,Eating,,,POINT,40.333,40.333,NA,,
B9_1_PP_GP_novel_SK,2024-07-16 10:45:49,,/Volumes/T7/13_7/cut/B9_1_PP_GP_novel.mp4,679.740,30.0,No focal subject,Eating,,,POINT,40.367,40.367,NA,,
B2_4_YY_PP_novel_SK,2024-07-12 14:49:33,,/Volumes/T7/29_06/B2_B3/cut/B2_4_YY_PP_novel.mp4,707.780,30.0,No focal subject,Zone of Interest,,,STATE,40.567,122.833,82.266,,
B3_1_GR_GP_control_SK,2024-07-12 14:11:56,,/Volumes/T7/26_06/EXTRA_DAY/B3_1_GR_GP_control.mov,697.400,30.0,No focal subject,Eating,,,POINT,40.600,40.600,NA,,
B3_7_GR_GP_novel_SK,2024-07-12 20:40:28,,/Volumes/T7/2_7/cut/B3_7_GR_GP_novel.mov,1200.470,30.0,No focal subject,Trial start,,,POINT,40.800,40.800,NA,,
B5_1_RY_GR_novel_SK,2024-07-12 14:53:07,,/Volumes/T7/29_06/B4_B5/cut/B5_1_RY_GP_novel.mp4,726.680,25.0,No focal subject,Test arena entry,,,POINT,40.800,40.800,NA,,
B4_8_BR_BP_control_SK,2024-07-11 15:47:51,,/Volumes/T7/6_7/cut/B4_8_BR_BP_control.mp4,791.230,25.0,No focal subject,Trial start,,,POINT,41.000,41.000,NA,,
B2_4_RY_RR_novel_SK,2024-07-12 14:49:19,,/Volumes/T7/29_06/B2_B3/cut/B2_4_RY_RR_novel.mp4,732.050,30.0,No focal subject,Test arena entry,,,POINT,41.267,41.267,NA,,
B5_6_A_control_SK,2024-07-11 11:04:00,,/Volumes/T7/4_7/cut/B5_6_A_control.mp4,753.450,25.0,redblack,Zone of Interest,,,STATE,41.360,62.560,21.200,,
B3_8_A_control_SK,2024-07-13 08:51:46,,/Volumes/T7/3_7/cut/B3_8_A_control.mov,664.830,30.0,blue,Zone of Interest,,,STATE,41.667,65.933,24.266,,
B6_3_A_novel_SK,2024-07-15 19:19:46,,/Volumes/T7/11_7/cut/B6_3_A_novel.mov,669.070,30.0,redblue,Eating,,,POINT,41.700,41.700,NA,,
B2_4_YY_PP_novel_SK,2024-07-12 14:49:33,,/Volumes/T7/29_06/B2_B3/cut/B2_4_YY_PP_novel.mp4,707.780,30.0,No focal subject,Eating,,,POINT,41.800,41.800,NA,,
B9_7_BB_BY_control_SK,2024-07-19 13:35:13,,/Volumes/Extreme SSD/NEO_Gull 2024/19_7/B8_B9/cut/B9_7_BB_BY_control.mp4,691.900,30.0,No focal subject,Eating,,,POINT,41.800,41.800,NA,,
B4_1_B_novel_SK,2024-07-12 14:50:45,,/Volumes/T7/29_06/B4_B5/cut/B4_1_B_novel.mp4,720.880,25.0,redblue,Zone of Interest,,,STATE,42.600,53.520,10.920,,
B4_1_B_novel_SK,2024-07-12 14:50:45,,/Volumes/T7/29_06/B4_B5/cut/B4_1_B_novel.mp4,720.880,25.0,red,Test arena entry,,,POINT,42.760,42.760,NA,,
B2_2_PP_BB_control_SK,2024-06-27 18:26:09,,/Volumes/T7/27_06/cut/B2_2_PP_BB_control.mp4,690.370,30.0,No focal subject,Trial start,,,POINT,42.800,42.800,NA,,
B8_3_A_control_SK,2024-07-15 14:24:39,,/Volumes/T7/15_7/cut/B8_3_A_control.mp4,815.700,30.0,blue,Zone of Interest,,,STATE,42.867,97.133,54.266,,
B5_1_BY_PR_novel_SK,2024-07-12 14:51:40,,/Volumes/T7/29_06/B4_B5/cut/B5_1_BY_PR_novel.mp4,664.280,25.0,No focal subject,Zone of Interest,,,STATE,42.880,67.720,24.840,,
B3_7_PY_BP_novel_SK,2024-07-12 20:40:40,,/Volumes/T7/2_7/cut/B3_7_PY_BP_novel.mov,719.800,30.0,No focal subject,Zone of Interest,,,STATE,42.933,78.600,35.667,,
B4_1_B_novel_SK,2024-07-12 14:50:45,,/Volumes/T7/29_06/B4_B5/cut/B4_1_B_novel.mp4,720.880,25.0,redblue,Eating,,,POINT,43.000,43.000,NA,,
B5_6_B_control_SK,2024-07-11 11:04:12,,/Volumes/T7/4_7/cut/B5_6_B_control.mp4,684.890,25.0,black,Zone of Interest,,,STATE,43.080,96.600,53.520,,
B5_4_B_control_SK,2024-07-12 18:49:23,,/Volumes/T7/2_7/cut/B5_4_B_control.mov,660.200,30.0,red,Zone of Interest,,,STATE,43.100,69.767,26.667,,
B4_8_BR_BP_control_SK,2024-07-11 15:47:51,,/Volumes/T7/6_7/cut/B4_8_BR_BP_control.mp4,791.230,25.0,No focal subject,Test arena entry,,,POINT,43.120,43.120,NA,,
B2_4_GR_PP_novel_SK,2024-07-12 14:48:12,,/Volumes/T7/29_06/B2_B3/cut/B2_4_GR_PP_novel.mp4,694.980,30.0,No focal subject,Trial start,,,POINT,43.167,43.167,NA,,
B3_7_PY_BP_novel_SK,2024-07-12 20:40:40,,/Volumes/T7/2_7/cut/B3_7_PY_BP_novel.mov,719.800,30.0,No focal subject,Eating,,,POINT,43.433,43.433,NA,,
B2_8_YY_PP_novel_SK,2024-07-13 08:51:33,,/Volumes/T7/3_7/cut/B2_8_YY_PP_novel.mov,683.570,30.0,No focal subject,Zone of Interest,,,STATE,43.567,130.067,86.500,,
B8_7_A_control_SK,2024-07-19 13:33:47,,/Volumes/Extreme SSD/NEO_Gull 2024/19_7/B8_B9/cut/B8_7_A_control.mp4,640.810,30.0,redblack,Zone of Interest,,,STATE,43.567,50.667,7.100,,
