Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B5_7_BY_PR_control_SB,2024-08-02 00:13:15.004,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_7_BY_PR_control (1).mp4,652.600,25.0,No focal subject,Trial end,,,POINT,614.160,614.160,NA,,
B3_5_BP_YY_control_SB,2024-08-01 16:07:03.872,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B3_5_BP_YY_control.mov,716.700,30.0,No focal subject,Trial end,,,POINT,614.333,614.333,NA,,
B8_6_PY_BR_novel_SB,2024-08-03 17:56:08.353,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B8_6_PY_BR_novel.mp4,647.534,30.0,No focal subject,Trial end,,,POINT,614.667,614.667,NA,,
B3_7_RY_GG_novel_SB,2024-08-01 16:11:10.363,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B3_7_RY_GG_novel.mov,675.333,30.0,No focal subject,Trial end,,,POINT,614.700,614.700,NA,,
B4_1_B_novel_SB,2024-08-01 16:45:32.788,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B4_1_B_novel.mp4,720.760,25.0,No focal subject,Trial end,,,POINT,615.240,615.240,NA,,
B9_5_BG_PR_novel_SB,2024-08-03 19:08:57.497,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B9_5_BG_PR_novel.mp4,649.967,30.0,No focal subject,Trial end,,,POINT,615.300,615.300,NA,,
B9_1_GP_BB_novel_SB,2024-08-03 18:09:51.375,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B9_1_GP_BB_novel (1).mp4,820.169,30.0,No focal subject,Trial end,,,POINT,615.337,615.337,NA,,
B6_6_GG_BG_control_SB,2024-08-02 13:46:35.612,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B6_6_GG_BG_control (1).mp4,650.167,30.0,No focal subject,Trial end,,,POINT,615.500,615.500,NA,,
B9_7_GP_BB_control_SB,2024-08-02 12:26:34.087,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B9_7_GP_BB_control.mp4,648.837,30.0,No focal subject,Trial end,,,POINT,616.070,616.070,NA,,
B6_1_B_control_SB,2024-08-02 11:21:45.698,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B6_1_B_control (1).mp4,657.864,30.0,No focal subject,Trial end,,,POINT,616.497,616.497,NA,,
B7_1_BP_GG_control_SB,2024-08-02 12:31:09.690,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_1_BP_GG_control (1).mp4,650.630,30.0,No focal subject,Trial end,,,POINT,616.530,616.530,NA,,
B5_5_RR_PP_novel_SB,2024-08-02 00:09:28.971,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_5_RR_PP_novel (1).mov,669.300,30.0,No focal subject,Trial end,,,POINT,616.666,616.666,NA,,
B5_8_A_novel_SB,2024-08-02 10:40:06.426,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_8_A_novel (1).mp4,728.040,25.0,No focal subject,Trial end,,,POINT,618.200,618.200,NA,,
B9_1_PP_GP_novel_SB,2024-08-03 18:14:38.925,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B9_1_PP_GP_novel.mp4,679.669,30.0,No focal subject,Trial end,,,POINT,618.603,618.603,NA,,
B4_2_YY_BR_novel_SB,2024-08-01 17:24:58.900,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B4_2_YY_BR_novel (1).mov,675.233,30.0,No focal subject,Trial end,,,POINT,618.867,618.867,NA,,
B5_7_PR_GG_control_SB,2024-08-02 10:31:30.941,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_7_PR_GG_control (1).mp4,711.520,25.0,No focal subject,Trial end,,,POINT,620.400,620.400,NA,,
B7_7_BR_GR_novel_SB,2024-08-03 16:35:08.258,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_7_BR_GR_novel (1).mov,654.840,25.0,No focal subject,Trial end,,,POINT,620.400,620.400,NA,,
B8_4_GG_GY_control_SB,2024-08-03 17:41:49.257,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B8_4_GG_GY_control.mp4,662.069,30.0,No focal subject,Trial end,,,POINT,620.503,620.503,NA,,
B6_6_GY_BG_control_SB,2024-08-02 14:07:36.985,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B6_6_GY_BG_control.mp4,662.267,30.0,No focal subject,Trial end,,,POINT,620.667,620.667,NA,,
